date,code,open,close,high,low,volume,amount,turn,pbMRQ,pctChg
2018-06-06,sh.601601,34.5000,34.3100,34.8300,34.0200,18295135,629595606.0000,0.291013,2.195836,-0.665893
2018-06-07,sh.601601,34.4600,34.5300,35.5400,34.4500,31011286,1085441233.0000,0.493284,2.209916,0.641205
2018-06-08,sh.601601,34.3000,33.4200,34.4000,33.1900,23532721,789323778.0000,0.374325,2.138876,-3.214598
2018-06-11,sh.601601,33.1700,33.5300,33.7700,32.9600,17166800,573561218.0000,0.273065,2.145916,0.329146
2018-06-12,sh.601601,33.4800,34.8200,35.0800,33.1600,30266227,1037981528.0000,0.481433,2.228476,3.847304
2018-06-13,sh.601601,34.5000,34.9400,35.2600,34.5000,19324181,675188271.0000,0.307382,2.236156,0.344627
2018-06-14,sh.601601,34.7800,35.9900,36.5400,34.7800,38124409,1373473292.0000,0.606430,2.303356,3.005161
2018-06-15,sh.601601,35.9900,36.1400,36.3800,35.6000,22806556,822913696.0000,0.362775,2.312956,0.416776
2018-06-19,sh.601601,35.8500,36.3400,36.4500,35.1300,58606921,2107464350.0000,0.932237,2.325756,0.553406
2018-06-20,sh.601601,35.7800,35.1800,35.9700,34.5200,25307052,889074143.0000,0.402549,2.251516,-3.192075
2018-06-21,sh.601601,34.9000,33.9200,35.2600,33.8100,23246153,803321438.0000,0.369767,2.170876,-3.581586
2018-06-22,sh.601601,33.5500,34.0800,34.4900,33.2600,17623207,595173152.0000,0.280325,2.181116,0.471709
2018-06-25,sh.601601,33.9000,32.8600,34.1600,32.7300,19434141,646402594.0000,0.309131,2.103036,-3.579815
2018-06-26,sh.601601,32.3000,32.4700,32.7400,31.6800,20118169,648758555.0000,0.320012,2.078076,-1.186851
2018-06-27,sh.601601,32.3400,31.7200,32.7600,31.1200,25002177,793983116.0000,0.397700,2.030076,-2.309830
2018-06-28,sh.601601,31.2600,31.0400,31.6500,30.6800,27036023,842227463.0000,0.430051,1.986556,-2.143753
2018-06-29,sh.601601,31.2000,31.8500,32.0000,31.1800,17740860,561415140.0000,0.282197,2.038396,2.609534
2018-07-02,sh.601601,31.7500,29.7700,31.7500,29.6700,28411513,870048229.0000,0.451930,1.905277,-6.530612
2018-07-03,sh.601601,29.9000,30.0800,30.1800,29.1000,30822890,916242947.0000,0.490287,1.925117,1.041315
